ID,Item_type,Study_Title,Document_Reference,Author_1st,Author_2nd,Author_3rd,Author_4th,Author_5th,Author_6th,Publication_year,Country_application,Specific_Location_1,Specific_Location_2,MAR_Type_1,MAR_Type_2,MAR_Type_3,MAR_Type_4,Criteria_Group_1,Criteria_Group_2,Criteria_Group_3,Criteria_used_Original,Criteria_used_Modified,Criteria_weight,Subcriteria_Min_weight,Subcriteria_Max_weight,Standardized_criteria_weight(%),Criteria_importance_rank,Criteria_weights_assigment,Combination_rules,Constraint_mapping,Constraint_mapping_what,Sensitivity_Analysis,Water_Sorce,Main_objective,Groundwater_potential_zones
009,Journal Article,Identification of potential artificial groundwater recharge zones in Northwestern Saudi Arabia using GIS and Boolean logic,"Zaidi, 2015",Faisan K. Zaidi,Yousef Nazzal,Izrar Ahmed,Muhammad Naeem,Muhammad Kamran Jafri,,2015,Saudi Arabia,Northwestern Saudi Arabia,,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage capacity,Vadose zone thickness,Soil depth,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Slope (>5 degrees); Soil texture (loamy/Rocky, Sandy/Clay); Vadose zone thickness (<20 m or > 140 m); Ambient groundwater quality (TDS > 600 mg/L); Type of water bearing formation (Aquiclude, aquitard); Land use/ Land Cover (Urban, barren, rocks, agriculture)",No,Stormwater/surface runoff; Treated wastewater,Agriculture; Domestic; Industrial,No
009,Journal Article,Identification of potential artificial groundwater recharge zones in Northwestern Saudi Arabia using GIS and Boolean logic,"Zaidi, 2015",Faisan K. Zaidi,Yousef Nazzal,Izrar Ahmed,Muhammad Naeem,Muhammad Kamran Jafri,,2015,Saudi Arabia,Northwestern Saudi Arabia,,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage/water flow capacity,Type of water bearing formation (aquifer type),Hydrogeology,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Slope (>5 degrees); Soil texture (loamy/Rocky, Sandy/Clay); Vadose zone thickness (<20 m or > 140 m); Ambient groundwater quality (TDS > 600 mg/L); Type of water bearing formation (Aquiclude, aquitard); Land use/ Land Cover (Urban, barren, rocks, agriculture)",No,Stormwater/surface runoff; Treated wastewater,Agriculture; Domestic; Industrial,No
009,Journal Article,Identification of potential artificial groundwater recharge zones in Northwestern Saudi Arabia using GIS and Boolean logic,"Zaidi, 2015",Faisan K. Zaidi,Yousef Nazzal,Izrar Ahmed,Muhammad Naeem,Muhammad Kamran Jafri,,2015,Saudi Arabia,Northwestern Saudi Arabia,,Spreading methods,,,,Water quality,Groundwater quality,Groundwater quality,Groundwater quality (TotalDisolvedSolids),Groundwater - Total Dissolved Solids,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Slope (>5 degrees); Soil texture (loamy/Rocky, Sandy/Clay); Vadose zone thickness (<20 m or > 140 m); Ambient groundwater quality (TDS > 600 mg/L); Type of water bearing formation (Aquiclude, aquitard); Land use/ Land Cover (Urban, barren, rocks, agriculture)",No,Stormwater/surface runoff; Treated wastewater,Agriculture; Domestic; Industrial,No
009,Journal Article,Identification of potential artificial groundwater recharge zones in Northwestern Saudi Arabia using GIS and Boolean logic,"Zaidi, 2015",Faisan K. Zaidi,Yousef Nazzal,Izrar Ahmed,Muhammad Naeem,Muhammad Kamran Jafri,,2015,Saudi Arabia,Northwestern Saudi Arabia,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Land use/Land cover,Land use/ land cover,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Slope (>5 degrees); Soil texture (loamy/Rocky, Sandy/Clay); Vadose zone thickness (<20 m or > 140 m); Ambient groundwater quality (TDS > 600 mg/L); Type of water bearing formation (Aquiclude, aquitard); Land use/ Land Cover (Urban, barren, rocks, agriculture)",No,Stormwater/surface runoff; Treated wastewater,Agriculture; Domestic; Industrial,No
009,Journal Article,Identification of potential artificial groundwater recharge zones in Northwestern Saudi Arabia using GIS and Boolean logic,"Zaidi, 2015",Faisan K. Zaidi,Yousef Nazzal,Izrar Ahmed,Muhammad Naeem,Muhammad Kamran Jafri,,2015,Saudi Arabia,Northwestern Saudi Arabia,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Slope (>5 degrees); Soil texture (loamy/Rocky, Sandy/Clay); Vadose zone thickness (<20 m or > 140 m); Ambient groundwater quality (TDS > 600 mg/L); Type of water bearing formation (Aquiclude, aquitard); Land use/ Land Cover (Urban, barren, rocks, agriculture)",No,Stormwater/surface runoff; Treated wastewater,Agriculture; Domestic; Industrial,No
010,Journal Article,Application of digital techniques to identify aquifer artificial recharge sites in GIS environment,"Mahdavi, 2011",A. Mahdavi,S.H. Tabatabaei,R. Mahdavi,M.R. Nouri Emamzadei,,,2011,Iran,"Shahrekord plain, Chaharmahal-va-Bakhtiari province",,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,1,0.01,0.7,22.9508196721311,3,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,"Slope (> 8%); Surface permeability (<25 mm/hour); Unsaturated zone thickness of alluvium (<20 m); Chemical quality of groundwater in alluvium -EC (>2250 µmohs/cm); Land use (agriculture, urban, water, rock)",No,Stormwater/surface runoff,Nonspecific,No
010,Journal Article,Application of digital techniques to identify aquifer artificial recharge sites in GIS environment,"Mahdavi, 2011",A. Mahdavi,S.H. Tabatabaei,R. Mahdavi,M.R. Nouri Emamzadei,,,2011,Iran,"Shahrekord plain, Chaharmahal-va-Bakhtiari province",,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Soil surface infiltration rate,Hydrological soils,1,0.01,0.95,31.1475409836066,1,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,"Slope (> 8%); Surface permeability (<25 mm/hour); Unsaturated zone thickness of alluvium (<20 m); Chemical quality of groundwater in alluvium -EC (>2250 µmohs/cm); Land use (agriculture, urban, water, rock)",No,Stormwater/surface runoff,Nonspecific,No
010,Journal Article,Application of digital techniques to identify aquifer artificial recharge sites in GIS environment,"Mahdavi, 2011",A. Mahdavi,S.H. Tabatabaei,R. Mahdavi,M.R. Nouri Emamzadei,,,2011,Iran,"Shahrekord plain, Chaharmahal-va-Bakhtiari province",,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage capacity,Unsaturated zone thickness of alluvium,Unsaturated zone thickness of alluvium,1,0.01,0.8,26.2295081967213,2,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,"Slope (> 8%); Surface permeability (<25 mm/hour); Unsaturated zone thickness of alluvium (<20 m); Chemical quality of groundwater in alluvium -EC (>2250 µmohs/cm); Land use (agriculture, urban, water, rock)",No,Stormwater/surface runoff,Nonspecific,No
010,Journal Article,Application of digital techniques to identify aquifer artificial recharge sites in GIS environment,"Mahdavi, 2011",A. Mahdavi,S.H. Tabatabaei,R. Mahdavi,M.R. Nouri Emamzadei,,,2011,Iran,"Shahrekord plain, Chaharmahal-va-Bakhtiari province",,Spreading methods,,,,Water quality,Groundwater quality,Groundwater quality,Chemical quality of groundwater in alluvium (electrical conductivity),Groundwater quality - Electrical conductivity,1,0.01,0.6,19.672131147541,4,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,"Slope (> 8%); Surface permeability (<25 mm/hour); Unsaturated zone thickness of alluvium (<20 m); Chemical quality of groundwater in alluvium -EC (>2250 µmohs/cm); Land use (agriculture, urban, water, rock)",No,Stormwater/surface runoff,Nonspecific,No
010,Journal Article,Application of digital techniques to identify aquifer artificial recharge sites in GIS environment,"Mahdavi, 2011",A. Mahdavi,S.H. Tabatabaei,R. Mahdavi,M.R. Nouri Emamzadei,,,2011,Iran,"Shahrekord plain, Chaharmahal-va-Bakhtiari province",,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Land use,Land use/ land cover,NA,NA,NA,NA,NA,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,"Slope (> 8%); Surface permeability (<25 mm/hour); Unsaturated zone thickness of alluvium (<20 m); Chemical quality of groundwater in alluvium -EC (>2250 µmohs/cm); Land use (agriculture, urban, water, rock)",No,Stormwater/surface runoff,Nonspecific,No
011,Journal Article,Identification of groundwater recharge potential zones for a watershed using remote sensing and GIS,"Patil, 2014",Shivaji Govind Patil,Nitin Mahadeo Mohite,,,,,2014,India,Pune district,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,20,1,3,20,2,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
011,Journal Article,Identification of groundwater recharge potential zones for a watershed using remote sensing and GIS,"Patil, 2014",Shivaji Govind Patil,Nitin Mahadeo Mohite,,,,,2014,India,Pune district,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Geomorphology,Geomorphology,25,1,3,25,1,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
011,Journal Article,Identification of groundwater recharge potential zones for a watershed using remote sensing and GIS,"Patil, 2014",Shivaji Govind Patil,Nitin Mahadeo Mohite,,,,,2014,India,Pune district,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Land use/Land cover,Land use/ land cover,25,1,3,25,1,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
011,Journal Article,Identification of groundwater recharge potential zones for a watershed using remote sensing and GIS,"Patil, 2014",Shivaji Govind Patil,Nitin Mahadeo Mohite,,,,,2014,India,Pune district,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Soil,Soil type,20,1,3,20,2,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
011,Journal Article,Identification of groundwater recharge potential zones for a watershed using remote sensing and GIS,"Patil, 2014",Shivaji Govind Patil,Nitin Mahadeo Mohite,,,,,2014,India,Pune district,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Drainage density,Drainage density/Drainage intensity,5,1,3,5,3,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
011,Journal Article,Identification of groundwater recharge potential zones for a watershed using remote sensing and GIS,"Patil, 2014",Shivaji Govind Patil,Nitin Mahadeo Mohite,,,,,2014,India,Pune district,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Lineament density,Lineament density,5,1,3,5,3,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
012,Journal Article,Use of remote sensing and GIS to determine recharge potential zones: the case of Occidental Lebanon,"Shaban, 2005",Amin Shaban,Mohamad Khawlie,Chadi Abdallah,,,,2005,Lebanon,Occidental Lebanon,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Lineaments density,Lineament density,3,5,10,22.8571428571429,2,Multi influencing factor,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,Yes
012,Journal Article,Use of remote sensing and GIS to determine recharge potential zones: the case of Occidental Lebanon,"Shaban, 2005",Amin Shaban,Mohamad Khawlie,Chadi Abdallah,,,,2005,Lebanon,Occidental Lebanon,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Drainage (sum of all drainage orders),Drainage order number,2.5,2,8,15.2380952380952,4,Multi influencing factor,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,Yes
012,Journal Article,Use of remote sensing and GIS to determine recharge potential zones: the case of Occidental Lebanon,"Shaban, 2005",Amin Shaban,Mohamad Khawlie,Chadi Abdallah,,,,2005,Lebanon,Occidental Lebanon,,Unspecified,,,,Technical criteria,Aquifer characteristics,Storage/water flow capacity,Lithology,Geology / Lithology,4,1,10,30.4761904761905,1,Multi influencing factor,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,Yes
012,Journal Article,Use of remote sensing and GIS to determine recharge potential zones: the case of Occidental Lebanon,"Shaban, 2005",Amin Shaban,Mohamad Khawlie,Chadi Abdallah,,,,2005,Lebanon,Occidental Lebanon,,Unspecified,,,,Technical criteria,Aquifer characteristics,Storage capacity,Karstic domains,Karstic domains,2.5,5,10,19.047619047619,3,Multi influencing factor,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,Yes
012,Journal Article,Use of remote sensing and GIS to determine recharge potential zones: the case of Occidental Lebanon,"Shaban, 2005",Amin Shaban,Mohamad Khawlie,Chadi Abdallah,,,,2005,Lebanon,Occidental Lebanon,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Land use/Land cover,Land use/ land cover,2.5,1,6.5,12.3809523809524,5,Multi influencing factor,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,Yes
013,Journal Article,"Delineation of potential zones for artificial recharge using GIS in Theni district, Tamilnadu, India","Sukumar, 2010",Sukumar. S.,Sankar. K.,,,,,2010,India,Theni District,Vaigai river basin,Unspecified,,,,Technical criteria,Aquifer characteristics,Storage/water flow capacity,Geology,Geology / Lithology,14,1,4,15.5555555555556,4,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic,No
013,Journal Article,"Delineation of potential zones for artificial recharge using GIS in Theni district, Tamilnadu, India","Sukumar, 2010",Sukumar. S.,Sankar. K.,,,,,2010,India,Theni District,Vaigai river basin,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Drainage intensity,Drainage density/Drainage intensity,8,1,4,8.88888888888889,5,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic,No
013,Journal Article,"Delineation of potential zones for artificial recharge using GIS in Theni district, Tamilnadu, India","Sukumar, 2010",Sukumar. S.,Sankar. K.,,,,,2010,India,Theni District,Vaigai river basin,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Soil texture,Hydrological soils,6,1,4,6.66666666666667,6,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic,No
013,Journal Article,"Delineation of potential zones for artificial recharge using GIS in Theni district, Tamilnadu, India","Sukumar, 2010",Sukumar. S.,Sankar. K.,,,,,2010,India,Theni District,Vaigai river basin,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Permeability (soil),Hydrological soils,24,1,4,26.6666666666667,1,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic,No
013,Journal Article,"Delineation of potential zones for artificial recharge using GIS in Theni district, Tamilnadu, India","Sukumar, 2010",Sukumar. S.,Sankar. K.,,,,,2010,India,Theni District,Vaigai river basin,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Effective soil depth,Soil depth,20,1,4,22.2222222222222,2,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic,No
013,Journal Article,"Delineation of potential zones for artificial recharge using GIS in Theni district, Tamilnadu, India","Sukumar, 2010",Sukumar. S.,Sankar. K.,,,,,2010,India,Theni District,Vaigai river basin,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Soil water holding capacity,Soil water holding capacity,18,1,4,20,3,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic,No
014,Journal Article,"An approach to delineate groundwater recharge potential sites in Ambalantota, Sri Lanka using GIS techniques","Senanayake, 2016",I.P. Senanayake,D.M.D.O.K. Dissanayake,B.B. Mayadunna,W.L. Weerasekera,,,2016,Sri Lanka,Hambantota District,,Spreading methods,Induced bank infiltration,In-channel modifications,"Well, shaft, borehole recharge",Environmental criteria,Environmental criteria,Environmental criteria,Rainfall,Rainfall,15,2,9,17.1319796954315,1,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
014,Journal Article,"An approach to delineate groundwater recharge potential sites in Ambalantota, Sri Lanka using GIS techniques","Senanayake, 2016",I.P. Senanayake,D.M.D.O.K. Dissanayake,B.B. Mayadunna,W.L. Weerasekera,,,2016,Sri Lanka,Hambantota District,,Spreading methods,Induced bank infiltration,In-channel modifications,"Well, shaft, borehole recharge",Technical criteria,Surface characteristics,Surface characteristics,Lineament density,Lineament density,13,1,6,9.89847715736041,6,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
014,Journal Article,"An approach to delineate groundwater recharge potential sites in Ambalantota, Sri Lanka using GIS techniques","Senanayake, 2016",I.P. Senanayake,D.M.D.O.K. Dissanayake,B.B. Mayadunna,W.L. Weerasekera,,,2016,Sri Lanka,Hambantota District,,Spreading methods,Induced bank infiltration,In-channel modifications,"Well, shaft, borehole recharge",Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,11,1,9,12.5634517766497,4,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
014,Journal Article,"An approach to delineate groundwater recharge potential sites in Ambalantota, Sri Lanka using GIS techniques","Senanayake, 2016",I.P. Senanayake,D.M.D.O.K. Dissanayake,B.B. Mayadunna,W.L. Weerasekera,,,2016,Sri Lanka,Hambantota District,,Spreading methods,Induced bank infiltration,In-channel modifications,"Well, shaft, borehole recharge",Technical criteria,Surface characteristics,Surface characteristics,Drainage density,Drainage density/Drainage intensity,10,1,8,10.1522842639594,6,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
014,Journal Article,"An approach to delineate groundwater recharge potential sites in Ambalantota, Sri Lanka using GIS techniques","Senanayake, 2016",I.P. Senanayake,D.M.D.O.K. Dissanayake,B.B. Mayadunna,W.L. Weerasekera,,,2016,Sri Lanka,Hambantota District,,Spreading methods,Induced bank infiltration,In-channel modifications,"Well, shaft, borehole recharge",Technical criteria,Surface characteristics,Surface characteristics,Land use/Land cover,Land use/ land cover,10,2,8,10.1522842639594,6,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
014,Journal Article,"An approach to delineate groundwater recharge potential sites in Ambalantota, Sri Lanka using GIS techniques","Senanayake, 2016",I.P. Senanayake,D.M.D.O.K. Dissanayake,B.B. Mayadunna,W.L. Weerasekera,,,2016,Sri Lanka,Hambantota District,,Spreading methods,Induced bank infiltration,In-channel modifications,"Well, shaft, borehole recharge",Technical criteria,Aquifer characteristics,Storage/water flow capacity,Lithology,Geology / Lithology,15,2,8,15.2284263959391,2,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
014,Journal Article,"An approach to delineate groundwater recharge potential sites in Ambalantota, Sri Lanka using GIS techniques","Senanayake, 2016",I.P. Senanayake,D.M.D.O.K. Dissanayake,B.B. Mayadunna,W.L. Weerasekera,,,2016,Sri Lanka,Hambantota District,,Spreading methods,Induced bank infiltration,In-channel modifications,"Well, shaft, borehole recharge",Technical criteria,Surface characteristics,Surface characteristics,Geomorphology,Geomorphology,12,3,7,10.6598984771574,5,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
014,Journal Article,"An approach to delineate groundwater recharge potential sites in Ambalantota, Sri Lanka using GIS techniques","Senanayake, 2016",I.P. Senanayake,D.M.D.O.K. Dissanayake,B.B. Mayadunna,W.L. Weerasekera,,,2016,Sri Lanka,Hambantota District,,Spreading methods,Induced bank infiltration,In-channel modifications,"Well, shaft, borehole recharge",Technical criteria,Surface characteristics,Surface characteristics,Soil type layers,Soil type,14,1,8,14.2131979695431,3,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
015,Journal Article,Groundwater resources development in hard rock terrain - An Approach using remote sensing and GIS techniques,"Krishnamurthy, 2000",Krishnamurthy Jagannathan,Jayaraman Venkatakrishnan,Arul Mani,M. Manivel,,,2000,India,Kallar Basin,Tamil Nadu District,Spreading methods,In-channel modifications,,,Technical criteria,Aquifer characteristics,Storage/water flow capacity,Lithology,Geology / Lithology,1,5,30,6.04838709677419,5,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
015,Journal Article,Groundwater resources development in hard rock terrain - An Approach using remote sensing and GIS techniques,"Krishnamurthy, 2000",Krishnamurthy Jagannathan,Jayaraman Venkatakrishnan,Arul Mani,M. Manivel,,,2000,India,Kallar Basin,Tamil Nadu District,Spreading methods,In-channel modifications,,,Technical criteria,Surface characteristics,Surface characteristics,Landforms,Geomorphology,1,10,70,14.1129032258065,1,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
015,Journal Article,Groundwater resources development in hard rock terrain - An Approach using remote sensing and GIS techniques,"Krishnamurthy, 2000",Krishnamurthy Jagannathan,Jayaraman Venkatakrishnan,Arul Mani,M. Manivel,,,2000,India,Kallar Basin,Tamil Nadu District,Spreading methods,In-channel modifications,,,Technical criteria,Surface characteristics,Surface characteristics,150 m buffer from lineaments,Distance to Lineaments / Faults,1,50,50,10.0806451612903,3,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
015,Journal Article,Groundwater resources development in hard rock terrain - An Approach using remote sensing and GIS techniques,"Krishnamurthy, 2000",Krishnamurthy Jagannathan,Jayaraman Venkatakrishnan,Arul Mani,M. Manivel,,,2000,India,Kallar Basin,Tamil Nadu District,Spreading methods,In-channel modifications,,,Technical criteria,Surface characteristics,Surface characteristics,Land use/Land cover,Land use/ land cover,1,0,70,14.1129032258065,1,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
015,Journal Article,Groundwater resources development in hard rock terrain - An Approach using remote sensing and GIS techniques,"Krishnamurthy, 2000",Krishnamurthy Jagannathan,Jayaraman Venkatakrishnan,Arul Mani,M. Manivel,,,2000,India,Kallar Basin,Tamil Nadu District,Spreading methods,In-channel modifications,,,Management criteria,Socio-environmental impact,Socio-environmental impact,"Over water bodies, settlements or forests","presence of water bodies, settlements or forests",1,0,1,NA,NA,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
015,Journal Article,Groundwater resources development in hard rock terrain - An Approach using remote sensing and GIS techniques,"Krishnamurthy, 2000",Krishnamurthy Jagannathan,Jayaraman Venkatakrishnan,Arul Mani,M. Manivel,,,2000,India,Kallar Basin,Tamil Nadu District,Spreading methods,In-channel modifications,,,Technical criteria,Surface characteristics,Surface characteristics,Drainage density,Drainage density/Drainage intensity,1,10,50,10.0806451612903,3,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
015,Journal Article,Groundwater resources development in hard rock terrain - An Approach using remote sensing and GIS techniques,"Krishnamurthy, 2000",Krishnamurthy Jagannathan,Jayaraman Venkatakrishnan,Arul Mani,M. Manivel,,,2000,India,Kallar Basin,Tamil Nadu District,Spreading methods,In-channel modifications,,,Technical criteria,Surface characteristics,Surface characteristics,Hydrological soils (permeability),Hydrological soils,1,10,45,9.07258064516129,4,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
015,Journal Article,Groundwater resources development in hard rock terrain - An Approach using remote sensing and GIS techniques,"Krishnamurthy, 2000",Krishnamurthy Jagannathan,Jayaraman Venkatakrishnan,Arul Mani,M. Manivel,,,2000,India,Kallar Basin,Tamil Nadu District,Spreading methods,In-channel modifications,,,Technical criteria,Aquifer characteristics,Storage capacity,Weathered zone thickness,Weathered zone thickness,1,30,60,12.0967741935484,2,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
015,Journal Article,Groundwater resources development in hard rock terrain - An Approach using remote sensing and GIS techniques,"Krishnamurthy, 2000",Krishnamurthy Jagannathan,Jayaraman Venkatakrishnan,Arul Mani,M. Manivel,,,2000,India,Kallar Basin,Tamil Nadu District,Spreading methods,In-channel modifications,,,Technical criteria,Aquifer characteristics,Storage capacity,Fractured zone thickness,Fractured zone thickness,1,30,60,12.0967741935484,2,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
015,Journal Article,Groundwater resources development in hard rock terrain - An Approach using remote sensing and GIS techniques,"Krishnamurthy, 2000",Krishnamurthy Jagannathan,Jayaraman Venkatakrishnan,Arul Mani,M. Manivel,,,2000,India,Kallar Basin,Tamil Nadu District,Spreading methods,In-channel modifications,,,Technical criteria,Aquifer characteristics,Storage capacity,Groundwater yields,Groundwater yields,1,40,60,12.0967741935484,2,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
016,Project paper,"Development of an Aquifer, Storage and Recovery (ASR) Site Selection Suitability Index in Support of the Comprehensive Everglades Restoration Project","Brown, 2005",Chris J. Brown,Robert Verrastro,Steve Schubert,,,,2005,USA,Lake Okeechobee,,"Well, shaft, borehole recharge",,,,Environmental criteria,Environmental criteria,Environmental criteria,"Ecological Suitability-Based on rarity,sensitivity","Ecological Suitability-Based on rarity,sensitivity",1,0,2,18.1818181818182,1,Ranking method,WLC,Yes,"Land size (<5 acres), Distance from Lake Okeechobee to water source (>3 miles), Land use (urban, commercial, lakes, streams, reservoirs, wetlands, swamps, mangroves, submerged aquatic vegetation, costal habitat areas, forested land, sewage treatment plant, landfill).",No,Lake water,Ecological,No
016,Project paper,"Development of an Aquifer, Storage and Recovery (ASR) Site Selection Suitability Index in Support of the Comprehensive Everglades Restoration Project","Brown, 2005",Chris J. Brown,Robert Verrastro,Steve Schubert,,,,2005,USA,Lake Okeechobee,,"Well, shaft, borehole recharge",,,,Management criteria,Economic criteria,Economic criteria,Location of existing wells,Presence of existing wells,NA,NA,NA,NA,NA,Ranking method,WLC,Yes,"Land size (<5 acres), Distance from Lake Okeechobee to water source (>3 miles), Land use (urban, commercial, lakes, streams, reservoirs, wetlands, swamps, mangroves, submerged aquatic vegetation, costal habitat areas, forested land, sewage treatment plant, landfill).",No,Lake water,Ecological,No
016,Project paper,"Development of an Aquifer, Storage and Recovery (ASR) Site Selection Suitability Index in Support of the Comprehensive Everglades Restoration Project","Brown, 2005",Chris J. Brown,Robert Verrastro,Steve Schubert,,,,2005,USA,Lake Okeechobee,,"Well, shaft, borehole recharge",,,,Water quality,General,General,Source water quality,Source water quality,1,0,2,18.1818181818182,1,Ranking method,WLC,Yes,"Land size (<5 acres), Distance from Lake Okeechobee to water source (>3 miles), Land use (urban, commercial, lakes, streams, reservoirs, wetlands, swamps, mangroves, submerged aquatic vegetation, costal habitat areas, forested land, sewage treatment plant, landfill).",No,Lake water,Ecological,No
016,Project paper,"Development of an Aquifer, Storage and Recovery (ASR) Site Selection Suitability Index in Support of the Comprehensive Everglades Restoration Project","Brown, 2005",Chris J. Brown,Robert Verrastro,Steve Schubert,,,,2005,USA,Lake Okeechobee,,"Well, shaft, borehole recharge",,,,Management criteria,socio-environmental impact,socio-environmental impact,Road Density,Road Density,1,0,2,18.1818181818182,1,Ranking method,WLC,Yes,"Land size (<5 acres), Distance from Lake Okeechobee to water source (>3 miles), Land use (urban, commercial, lakes, streams, reservoirs, wetlands, swamps, mangroves, submerged aquatic vegetation, costal habitat areas, forested land, sewage treatment plant, landfill).",No,Lake water,Ecological,No
016,Project paper,"Development of an Aquifer, Storage and Recovery (ASR) Site Selection Suitability Index in Support of the Comprehensive Everglades Restoration Project","Brown, 2005",Chris J. Brown,Robert Verrastro,Steve Schubert,,,,2005,USA,Lake Okeechobee,,"Well, shaft, borehole recharge",,,,Management criteria,Economic criteria,Economic criteria,Distance to existing power lines,Distance to existing power lines,1,0,2,18.1818181818182,1,Ranking method,WLC,Yes,"Land size (<5 acres), Distance from Lake Okeechobee to water source (>3 miles), Land use (urban, commercial, lakes, streams, reservoirs, wetlands, swamps, mangroves, submerged aquatic vegetation, costal habitat areas, forested land, sewage treatment plant, landfill).",No,Lake water,Ecological,No
